,CRN,**Notes,Course,Title,SH,Course Type,Instructor,Meeting Dates,Days,Time,Location,Categories,Seats,Limit,Enroll,*Campus,Subject,Prerequisites,Score
71,15653,"29,30,141",BIO 105-01D,Major Concepts Biology,3,WEB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,,,,.GLS.GNS.SUS,-8,0,8,D,biology,,1
72,11379,,BIO 105-02,Major Concepts Biology,3,LEC,Ann B. Somers,08-JAN-2018 to 25-APR-2018,M W F,1200-1250,SULV 101,.GLS.GNS.SUS,56,295,239,M,biology,,1
73,11380,,BIO 105-03,Major Concepts Biology,3,LEC,Austin N. Craven,08-JAN-2018 to 25-APR-2018,T R,1700-1815,SULV 101,.GLS.GNS.SUS,45,175,130,M,biology,,1
74,15126,"29,30,105",BIO 105-81D,Major Concepts Biology,3,WEB,Malcolm D. Schug,09-DEC-2017 to 18-JAN-2018,,,,.GLS.GNS.SUS,5,80,75,D,biology,,1
75,11381,3,BIO 105L-01,Major Concepts in Bio Lab,1,LAB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,M,0900-1150,SULV 112,.GLS.GNS.SUS,0,24,24,M,biology,,1
76,11382,3,BIO 105L-02,Major Concepts in Bio Lab,1,LAB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,M,1200-1450,SULV 112,.GLS.GNS.SUS,0,24,24,M,biology,,1
77,11383,3,BIO 105L-03,Major Concepts in Bio Lab,1,LAB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,M,1500-1750,SULV 112,.GLS.GNS.SUS,0,24,24,M,biology,,1
78,11384,3,BIO 105L-04,Major Concepts in Bio Lab,1,LAB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,M,1800-2050,SULV 112,.GLS.GNS.SUS,1,24,23,M,biology,,1
79,11385,3,BIO 105L-05,Major Concepts in Bio Lab,1,LAB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,T,0930-1220,SULV 112,.GLS.GNS.SUS,0,24,24,M,biology,,1
80,11386,3,BIO 105L-06,Major Concepts in Bio Lab,1,LAB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,T,1230-1520,SULV 112,.GLS.GNS.SUS,1,24,23,M,biology,,1
81,11387,3,BIO 105L-07,Major Concepts in Bio Lab,1,LAB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,T,1530-1820,SULV 112,.GLS.GNS.SUS,0,24,24,M,biology,,1
82,11388,3,BIO 105L-08,Major Concepts in Bio Lab,1,LAB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,T,1830-2120,SULV 112,.GLS.GNS.SUS,0,24,24,M,biology,,1
83,11389,3,BIO 105L-09,Major Concepts in Bio Lab,1,LAB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,W,0900-1150,SULV 112,.GLS.GNS.SUS,0,24,24,M,biology,,1
84,14189,3,BIO 105L-10,Major Concepts in Bio Lab,1,LAB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,W,1200-1450,SULV 112,.GLS.GNS.SUS,0,24,24,M,biology,,1
85,14190,3,BIO 105L-11,Major Concepts in Bio Lab,1,LAB,Julia Loreth,08-JAN-2018 to 25-APR-2018,W,1500-1750,SULV 112,.GLS.GNS.SUS,1,24,23,M,biology,,1
86,14191,3,BIO 105L-12,Major Concepts in Bio Lab,1,LAB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,W,1800-2050,SULV 112,.GLS.GNS.SUS,0,24,24,M,biology,,1
87,14193,3,BIO 105L-13,Major Concepts in Bio Lab,1,LAB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,R,0930-1220,SULV 112,.GLS.GNS.SUS,0,24,24,M,biology,,1
88,14194,3,BIO 105L-14,Major Concepts in Bio Lab,1,LAB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,R,1230-1520,SULV 112,.GLS.GNS.SUS,0,24,24,M,biology,,1
89,15222,3,BIO 105L-15,Major Concepts in Bio Lab,1,LAB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,R,1530-1820,SULV 112,.GLS.GNS.SUS,2,24,22,M,biology,,1
90,15322,3,BIO 105L-16,Major Concepts in Bio Lab,1,WEB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,,,,.GLS.GNS.SUS,0,9,9,M,biology,,1
91,15225,"3,29,30,141",BIO 105L-16D,Major Concepts in Bio Lab,1,WEB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,,,,.GLS.GNS.SUS,-1,10,11,D,biology,,1
92,15226,3,BIO 105L-17,Major Concepts in Bio Lab,1,WEB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,,,,.GLS.GNS.SUS,0,10,10,M,biology,,1
93,15227,"3,29,30,141",BIO 105L-17D,Major Concepts in Bio Lab,1,WEB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,,,,.GLS.GNS.SUS,0,10,10,D,biology,,1
94,15229,3,BIO 105L-18,Major Concepts in Bio Lab,1,WEB,Austin N. Craven,08-JAN-2018 to 25-APR-2018,,,,.GLS.GNS.SUS,0,10,10,M,biology,,1
95,15537,"3,29,30,141",BIO 105L-18D,Major Concepts in Bio Lab,1,WEB,Austin N. Craven,08-JAN-2018 to 25-APR-2018,,,,.GLS.GNS.SUS,4,10,6,D,biology,,1
96,11390,3,BIO 111-01,Principles of Biology I,4,LEC,John E. Tomkiel Dean,08-JAN-2018 to 25-APR-2018,T R,1400-1515,EBER 250,.ENV.GLS.GNS.SUS,10,192,182,M,biology,,3
97,11391,3,BIO 111-02,Principles of Biology I,4,LEC,Julia Loreth,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,SOEB 120,.ENV.GLS.GNS.SUS,13,192,179,M,biology,,3
98,11392,3,BIO 111-03,Principles of Biology I,4,LEC,Margaret L. Horton,08-JAN-2018 to 25-APR-2018,T R,1800-1915,EBER 250,.ENV.GLS.GNS.SUS,74,180,106,M,biology,,3
99,14848,3,BIO 111-04,Principles of Biology I,4,LEC,Maria Cristina D. Moreira,08-JAN-2018 to 25-APR-2018,M W,1400-1515,SULV 101,.ENV.GLS.GNS.SUS,7,180,173,M,biology,,3
100,11393,3,BIO 111L-01,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,0900-1150,SULV 138,.ENV,0,24,24,M,biology,,2
101,11394,3,BIO 111L-02,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,0930-1220,SULV 140,.ENV,1,24,23,M,biology,,2
102,11395,3,BIO 111L-03,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,1200-1450,SULV 138,.ENV,0,24,24,M,biology,,2
103,11396,3,BIO 111L-04,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,1230-1520,SULV 140,.ENV,0,24,24,M,biology,,2
104,11397,3,BIO 111L-05,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,1500-1750,SULV 138,.ENV,1,24,23,M,biology,,2
105,11398,3,BIO 111L-06,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,1530-1820,SULV 140,.ENV,1,24,23,M,biology,,2
106,11399,3,BIO 111L-07,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,1800-2050,SULV 138,.ENV,2,24,22,M,biology,,2
107,11400,3,BIO 111L-08,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,1830-2120,SULV 140,.ENV,2,24,22,M,biology,,2
108,11401,3,BIO 111L-09,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,0900-1150,SULV 138,.ENV,0,24,24,M,biology,,2
109,11402,3,BIO 111L-10,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,0930-1220,SULV 140,.ENV,1,24,23,M,biology,,2
110,11403,3,BIO 111L-11,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,1200-1450,SULV 138,.ENV,0,24,24,M,biology,,2
111,11404,3,BIO 111L-12,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,1230-1520,SULV 140,.ENV,1,24,23,M,biology,,2
112,11405,3,BIO 111L-13,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,1500-1750,SULV 138,.ENV,0,24,24,M,biology,,2
113,11406,3,BIO 111L-14,Princpls of Biology I Lab,0,LAB,Julia Loreth,08-JAN-2018 to 25-APR-2018,T,1530-1820,SULV 140,.ENV,1,24,23,M,biology,,2
114,11407,3,BIO 111L-15,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,1800-2050,SULV 138,.ENV,0,24,24,M,biology,,2
115,14472,3,BIO 111L-16,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,1830-2120,SULV 140,.ENV,19,24,5,M,biology,,2
116,14856,3,BIO 111L-17,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,W,0900-1150,SULV 138,.ENV,2,24,22,M,biology,,2
117,14857,3,BIO 111L-18,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,W,0930-1220,SULV 140,.ENV,0,24,24,M,biology,,2
118,14858,3,BIO 111L-19,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,W,1200-1450,SULV 138,.ENV,0,24,24,M,biology,,2
119,14859,3,BIO 111L-20,Princpls of Biology I Lab,0,LAB,Casey M. Taylor,08-JAN-2018 to 25-APR-2018,W,1500-1750,SULV 138,.ENV,1,24,23,M,biology,,2
120,14860,3,BIO 111L-21,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,W,1800-2050,SULV 138,.ENV,3,24,21,M,biology,,2
121,14861,3,BIO 111L-22,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,W,1830-2120,SULV 140,.ENV,0,24,24,M,biology,,2
122,14862,3,BIO 111L-23,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,R,0900-1150,SULV 138,.ENV,0,24,24,M,biology,,2
123,14863,3,BIO 111L-24,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,R,0930-1220,SULV 140,.ENV,1,24,23,M,biology,,2
124,14864,3,BIO 111L-25,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,R,1200-1450,SULV 138,.ENV,1,24,23,M,biology,,2
125,14865,3,BIO 111L-26,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,R,1230-1520,SULV 140,.ENV,0,24,24,M,biology,,2
126,14866,3,BIO 111L-27,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,R,1500-1750,SULV 138,.ENV,1,24,23,M,biology,,2
127,14867,3,BIO 111L-28,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,R,1530-1820,SULV 140,.ENV,1,24,23,M,biology,,2
128,14868,3,BIO 111L-29,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,R,1800-2050,SULV 138,.ENV,18,24,6,M,biology,,2
129,11414,3,BIO 112-02,Principles of Biology II,4,LEC,Peter W. Blum,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,SULV 101,.ENV.GLS.GNS,42,225,183,M,biology,,1
130,11415,"3,14,37",BIO 112-03,Principles of Biology II,4,LEC,John J. Lepri,08-JAN-2018 to 25-APR-2018,M W F,1200-1250,SULV 103,.ENV.GLS.GNS.HSS,12,24,12,M,biology,,1
131,16439,3,BIO 112-04,Principles of Biology II,4,LEC,Iglika V. Pavlova,08-JAN-2018 to 25-APR-2018,T R,0800-0915,SULV 200,.ENV.GLS.GNS,20,95,75,M,biology,,1
132,11416,3,BIO 112L-01,Princpls of Biology II Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,0930-1220,SULV 114,none,14,24,10,M,biology,,0
133,11417,3,BIO 112L-02,Princpls of Biology II Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,1200-1450,SULV 124,none,-1,24,25,M,biology,,0
134,11430,3,BIO 112L-03,Princpls of Biology II Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,1230-1520,SULV 114,none,0,24,24,M,biology,,0
135,11418,3,BIO 112L-04,Princpls of Biology II Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,1500-1750,SULV 124,none,4,24,20,M,biology,,0
136,11419,3,BIO 112L-05,Princpls of Biology II Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,1530-1820,SULV 114,none,10,24,14,M,biology,,0
137,11421,3,BIO 112L-06,Princpls of Biology II Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,0930-1220,SULV 114,none,0,24,24,M,biology,,0
138,11422,3,BIO 112L-07,Princpls of Biology II Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,1230-1520,SULV 114,none,1,24,23,M,biology,,0
139,11423,3,BIO 112L-08,Princpls of Biology II Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,1530-1820,SULV 114,none,-1,24,25,M,biology,,0
140,11424,3,BIO 112L-09,Princpls of Biology II Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,1830-2120,SULV 114,none,17,24,7,M,biology,,0
141,11429,3,BIO 112L-10,Princpls of Biology II Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,W,0900-1150,SULV 114,none,16,24,8,M,biology,,0
142,11425,3,BIO 112L-11,Princpls of Biology II Lab,0,LAB,Iglika V. Pavlova,08-JAN-2018 to 25-APR-2018,W,1500-1750,SULV 124,none,10,24,14,M,biology,,0
143,11426,3,BIO 112L-12,Princpls of Biology II Lab,0,LAB,Elizabeth S. Tomlin,08-JAN-2018 to 25-APR-2018,R,0930-1220,SULV 124,none,2,24,22,M,biology,,0
