CRN,**Notes,Course,Title,SH,Course Type,Instructor,Meeting Dates,Days,Time,Location,Categories,Seats,Limit,Enroll,*Campus
10068,3,CHE 112-02,General Chemistry Lab I,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,M,1100-1220,SULV 355,.ENV.GNS.GPS.SUS,1,24,23,M
10068,,,,,,Joseph N. Mwangi,,M,1230-1350,SULV 222,,,,,
10069,3,CHE 112-03,General Chemistry Lab I,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,M,1400-1520,SULV 233,.ENV.GNS.GPS.SUS,1,24,23,M
10069,,,,,,Chante A. Muller,,M,1530-1650,SULV 216,,,,,
10070,3,CHE 112-04,General Chemistry Lab I,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,M,1400-1520,SULV 233,.ENV.GNS.GPS.SUS,1,24,23,M
10070,,,,,,,,M,1530-1650,SULV 222,,,,,
10071,3,CHE 112-05,General Chemistry Lab I,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,M,1900-2020,SULV 233,.ENV.GNS.GPS.SUS,0,24,24,M
10071,,,,,,Chante A. Muller,,M,2030-2150,SULV 216,,,,,
10072,3,CHE 112-06,General Chemistry Lab I,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,M,1900-2020,SULV 233,.ENV.GNS.GPS.SUS,2,24,22,M
10072,,,,,,,,M,2030-2150,SULV 222,,,,,
10073,3,CHE 112-07,General Chemistry Lab I,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,T,0800-0920,SULV 355,.ENV.GNS.GPS.SUS,0,24,24,M
10073,,,,,,Spencer J. Peterman,,T,0930-1050,SULV 216,,,,,
10074,3,CHE 112-08,General Chemistry Lab I,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,T,0800-0920,SULV 355,.ENV.GNS.GPS.SUS,0,24,24,M
10074,,,,,,Osbin F. Perdomo Rosales,,T,0930-1050,SULV 222,,,,,
10075,3,CHE 112-09,General Chemistry Lab I,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,T,1100-1220,SULV 233,.ENV.GNS.GPS.SUS,-1,24,25,M
10075,,,,,,Gabrielle P. Dailey,,T,1230-1350,SULV 216,,,,,
10076,3,CHE 112-10,General Chemistry Lab I,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,T,1100-1220,SULV 233,.ENV.GNS.GPS.SUS,0,24,24,M
10076,,,,,,,,T,1230-1350,SULV 222,,,,,
12600,3,CHE 112-11,General Chemistry Lab I,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,T,1400-1520,SULV 233,.ENV.GNS.GPS.SUS,0,24,24,M
12600,,,,,,Emily D. Wallace,,T,1530-1650,SULV 216,,,,,
12619,3,CHE 112-12,General Chemistry Lab I,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,T,1400-1520,SULV 233,.ENV.GNS.GPS.SUS,0,24,24,M
12619,,,,,,Spencer J. Peterman,,T,1530-1650,SULV 222,,,,,
13796,3,CHE 112-13,General Chemistry Lab I,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,T,1700-1820,SULV 233,.ENV.GNS.GPS.SUS,1,24,23,M
13796,,,,,,Kristof Bence Cank,,T,1830-1950,SULV 216,,,,,
13797,3,CHE 112-14,General Chemistry Lab I,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,T,1700-1820,SULV 233,.ENV.GNS.GPS.SUS,9,24,15,M
13797,,,,,,Osbin F. Perdomo Rosales,,T,1830-1950,SULV 222,,,,,
17379,3,CHE 112-15,General Chemistry Lab I,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,W,0800-0920,SULV 233,.ENV.GNS.GPS.SUS,14,24,10,M
17379,,,,,,Kristof Bence Cank,,W,0930-1050,SULV 216,,,,,
17380,3,CHE 112-16,General Chemistry Lab I,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,W,0800-0920,SULV 233,.ENV.GNS.GPS.SUS,17,24,7,M
17380,,,,,,Kristof Bence Cank,,W,0930-1050,SULV 222,,,,,
10053,3,CHE 114-01,General Chemistry II,3,LEC,Dennis A. Burnes,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,SULV 201,.GNS.GPS,0,120,120,M
10054,3,CHE 114-02,General Chemistry II,3,LEC,Dennis A. Burnes,08-JAN-2018 to 25-APR-2018,M W,1730-1845,SULV 101,.GNS.GPS,12,140,128,M
14293,3,CHE 114-03,General Chemistry II,3,LEC,Edwar S. Shamshoum,08-JAN-2018 to 25-APR-2018,T R,1730-1845,SULV 200,.GNS.GPS,9,96,87,M
10077,3,CHE 115-01,General Chemistry II Lab,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,M,1400-1520,SULV 355,.GNS.GPS,0,24,24,M
10077,,,,,,Patricia S. Boyd,,M,1530-1650,SULV 215,,,,,
10078,3,CHE 115-02,General Chemistry II Lab,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,M,1400-1520,SULV 355,.GNS.GPS,0,24,24,M
10078,,,,,,Abraham Ustoyev,,M,1530-1650,SULV 221,,,,,
10079,3,CHE 115-03,General Chemistry II Lab,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,T,0930-1050,SULV 233,.GNS.GPS,1,24,23,M
10079,,,,,,Faith E. Howell,,T,1100-1120,SULV 215,,,,,
10080,3,CHE 115-04,General Chemistry II Lab,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,T,0930-1050,SULV 233,.GNS.GPS,0,24,24,M
10080,,,,,,,,T,1100-1220,SULV 221,,,,,
10082,3,CHE 115-05,General Chemistry II Lab,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,M,1100-1150,SULV 233,.GNS.GPS,2,24,22,M
10082,,,,,,Olalekan S. Oyekunle,,M,1200-1350,SULV 215,,,,,
10083,3,CHE 115-06,General Chemistry II Lab,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,M,1100-1150,SULV 233,.GNS.GPS,6,24,18,M
10083,,,,,,Faith E. Howell,,M,1200-1350,SULV 221,,,,,
10084,3,CHE 115-07,General Chemistry II Lab,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,T,1530-1650,SULV 233,.GNS.GPS,1,24,23,M
10084,,,,,,John A. Roque,,T,1700-1820,SULV 215,,,,,
10085,3,CHE 115-08,General Chemistry II Lab,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,T,1530-1650,SULV 233,.GNS.GPS,2,24,22,M
10085,,,,,,Gregory T. Wilson,,T,1700-1820,SULV 221,,,,,
10086,3,CHE 115-09,General Chemistry II Lab,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,T,1900-2020,SULV 233,.GNS.GPS,4,24,20,M
10086,,,,,,Rhashanda D. Haywood,,T,2030-2150,SULV 215,,,,,
10087,3,CHE 115-10,General Chemistry II Lab,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,T,1900-2020,SULV 233,.GNS.GPS,2,24,22,M
10087,,,,,,Abraham Ustoyev,,T,2030-2150,SULV 221,,,,,
10088,3,CHE 115-11,General Chemistry II Lab,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,W,1400-1520,SULV 355,.GNS.GPS,3,24,21,M
10088,,,,,,John A. Roque,,W,1530-1650,SULV 215,,,,,
12598,3,CHE 115-12,General Chemistry II Lab,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,W,1400-1520,SULV 355,.GNS.GPS,4,24,20,M
12598,,,,,,Rhashanda D. Haywood,,W,1530-1650,SULV 221,,,,,
13789,3,CHE 115-13,General Chemistry II Lab,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,R,0930-1050,SULV 233,.GNS.GPS,2,24,22,M
13789,,,,,,Olalekan S. Oyekunle,,R,1100-1220,SULV 215,,,,,
13798,3,CHE 115-14,General Chemistry II Lab,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,R,0930-1050,SULV 233,.GNS.GPS,7,24,17,M
13798,,,,,,,,R,1100-1220,SULV 221,,,,,
14361,3,CHE 115-15,General Chemistry II Lab,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,W,1100-1150,SULV 233,.GNS.GPS,11,24,13,M
14361,,,,,,Patricia S. Boyd,,W,1200-1350,SULV 215,,,,,
14362,3,CHE 115-16,General Chemistry II Lab,1,LAB,Spencer A. Russell,08-JAN-2018 to 25-APR-2018,W,1100-1150,SULV 233,.GNS.GPS,15,24,9,M
14362,,,,,,Patricia S. Boyd,,W,1200-1350,SULV 221,,,,,
10089,3,CHE 191-01,Introduction to Research,1,IND,Mitchell P. Croatt,08-JAN-2018 to 25-APR-2018,,,,,20,24,4,M
15554,3,CHE 252-01,Chemistry / Human Environment,3,LEC,Robert B. Banks,08-JAN-2018 to 25-APR-2018,T R,1100-1215,SULV 217,.ENV.SUS,2,24,22,M
10090,"1,3,159",CHE 292-01,Sophomore Research,1,IND,Mitchell P. Croatt,08-JAN-2018 to 25-APR-2018,,,,,12,15,3,M
16442,3,CHE 351-01,Organic Chemistry I,4,LEC,Pradyumna K. Pradhan,08-JAN-2018 to 25-APR-2018,M W F,0840-0950,EBER 284,.ENV,9,80,71,M
10091,3,CHE 352-01,Organic Chemistry II,3,LEC,Robert B. Banks,08-JAN-2018 to 25-APR-2018,M W F,0900-0950,SULV 201,.ENV,41,120,79,M
10092,3,CHE 352-02,Organic Chemistry II,3,LEC,Sarmad S. Hindo,08-JAN-2018 to 25-APR-2018,T R,0800-0915,SULV 201,.ENV,1,120,119,M
13790,3,CHE 352-03,Organic Chemistry II,3,LEC,Daniel P. Christen,08-JAN-2018 to 25-APR-2018,M W,1730-1845,SULV 200,.ENV,75,96,21,M
10093,3,CHE 354-01,Organic Chmstry II Laboratory,1,LAB,Daniel P. Christen,08-JAN-2018 to 25-APR-2018,M,1300-1450,SULV 200,,12,48,36,M
10093,,,,,,,,M,1500-1650,SULV 230,,,,,
10093,,,,,,,,M,1500-1620,SULV 240,,,,,
10094,3,CHE 354-02,Organic Chmstry II Laboratory,1,LAB,Pradyumna K. Pradhan,08-JAN-2018 to 25-APR-2018,M,1800-1950,SULV 217,,15,24,9,M
10094,,,,,,,,M,2000-2150,SULV 230,,,,,
10094,,,,,,,,M,2000-2150,SULV 240,,,,,
10095,3,CHE 354-03,Organic Chmstry II Laboratory,1,LAB,Christopher Behme,08-JAN-2018 to 25-APR-2018,T,1300-1450,SULV 200,,2,48,46,M
10095,,,,,,,,T,1500-1650,SULV 230,,,,,
10095,,,,,,,,T,1500-1650,SULV 240,,,,,
12597,3,CHE 354-04,Organic Chmstry II Laboratory,1,LAB,Christopher Behme,08-JAN-2018 to 25-APR-2018,T,1800-1950,SULV 355,,7,24,17,M
12597,,,,,,,,T,2000-2150,SULV 240,,,,,
12597,,,,,,,,T,2000-2150,SULV 230,,,,,
13251,3,CHE 354-05,Organic Chmstry II Laboratory,1,LAB,Daniel P. Christen,08-JAN-2018 to 25-APR-2018,W,1300-1450,SULV 200,,6,48,42,M
13251,,,,,,,,W,1500-1650,SULV 230,,,,,
13251,,,,,,,,W,1500-1650,SULV 240,,,,,
10096,"3,8",CHE 355-01,Intermed Organic Chem Lab,2,LAB,Daniel P. Christen,08-JAN-2018 to 25-APR-2018,R,1100-1150,SULV 200,,19,48,29,M
10096,,,,,,,,R,1300-1350,SULV 355,,,,,
10096,,,,,,,,R,1400-1650,SULV 230,,,,,
10097,"3,8",CHE 355-02,Intermed Organic Chem Lab,2,LAB,Christopher Behme,08-JAN-2018 to 25-APR-2018,R,1100-1150,SULV 200,,8,24,16,M
10097,,,,,,,,R,1800-1850,SULV 203,,,,,
10097,,,,,,,,R,1850-2150,,,,,,
12116,"1,3,159",CHE 392-01,Junior Research,1,IND,Mitchell P. Croatt,08-JAN-2018 to 25-APR-2018,,,,,12,15,3,M
10100,"3,10",CHE 401-01,Chemistry Seminar Intro,0,SEM,Nicholas Oberlies,08-JAN-2018 to 25-APR-2018,W F,1300-1450,SULV 201,,7,24,17,M
10102,"3,9",CHE 402-01,Chemistry Seminar,1,SEM,Nicholas Oberlies,08-JAN-2018 to 25-APR-2018,M,1300-1350,SULV 435D,.SI,0,12,12,M
10101,"3,9",CHE 402-02,Chemistry Seminar,1,SEM,Ethan W. Taylor,08-JAN-2018 to 25-APR-2018,T,1100-1150,SULV 435D,.SI,1,12,11,M
10103,3,CHE 442-01,Advanced Inorganic Chemistry I,3,LEC,Jerome L. Walsh,08-JAN-2018 to 25-APR-2018,M W,0900-0950,SULV 217,,3,16,13,M
10103,,,,,,,,F,0900-0950,SULV 226,,,,,
10104,3,CHE 462-01,Physical Chemistry II,3,LEC,Alice E. Haddy,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,SULV 203,,17,24,7,M
10109,3,CHE 464-01,Physical Chemistry II Lab,1,LAB,Dennis A. Burnes,08-JAN-2018 to 25-APR-2018,M,1300-1650,SULV 354,.WI,11,16,5,M
12117,"1,3,9,14,374",CHE 490-01,Internshp Chem and Biochem,3,INT,Norman H. Chiu,08-JAN-2018 to 25-APR-2018,,,,,15,15,0,M
12118,"1,3,159",CHE 492-01,Senior Research,1,IND,Robert B. Banks,08-JAN-2018 to 25-APR-2018,,,,,15,15,0,M
12119,"1,3,159",CHE 492-02,Senior Research,1,IND,Kimberly S. Petersen,08-JAN-2018 to 25-APR-2018,,,,,13,15,2,M
12120,"1,3,159",CHE 492-03,Senior Research,1,IND,Nadja B. Cech,08-JAN-2018 to 25-APR-2018,,,,,12,15,3,M
12121,"1,3,159",CHE 492-04,Senior Research,1,IND,Norman H. Chiu,08-JAN-2018 to 25-APR-2018,,,,,12,15,3,M
12122,"1,3,159",CHE 492-05,Senior Research,1,IND,Liam M. Duffy,08-JAN-2018 to 25-APR-2018,,,,,13,15,2,M
12123,"1,3,159",CHE 492-06,Senior Research,1,IND,Alice E. Haddy,08-JAN-2018 to 25-APR-2018,,,,,12,15,3,M
12124,"1,3,159",CHE 492-07,Senior Research,1,IND,Terence A. Nile,08-JAN-2018 to 25-APR-2018,,,,,14,15,1,M
12125,"1,3,159",CHE 492-08,Senior Research,1,IND,Sherri A. McFarland,08-JAN-2018 to 25-APR-2018,,,,,12,15,3,M
12126,"1,3,159",CHE 492-09,Senior Research,1,IND,Jason J. Reddick,08-JAN-2018 to 25-APR-2018,,,,,15,15,0,M
12128,"1,3,159",CHE 492-10,Senior Research,1,IND,Patricia H. Reggio,08-JAN-2018 to 25-APR-2018,,,,,15,15,0,M
12129,"1,3,159",CHE 492-11,Senior Research,1,IND,Ethan W. Taylor,08-JAN-2018 to 25-APR-2018,,,,,15,15,0,M
12130,"1,3,159",CHE 492-12,Senior Research,1,IND,Jerome L. Walsh,08-JAN-2018 to 25-APR-2018,,,,,15,15,0,M
12131,"1,3,159",CHE 492-13,Senior Research,1,IND,Nicholas Oberlies,08-JAN-2018 to 25-APR-2018,,,,,11,15,4,M
12132,"1,3,159",CHE 492-14,Senior Research,1,IND,Mitchell P. Croatt,08-JAN-2018 to 25-APR-2018,,,,,8,15,7,M
13875,"1,3,159",CHE 492-15,Senior Research,1,IND,Qibin Zhang,08-JAN-2018 to 25-APR-2018,,,,,15,15,0,M
12133,"1,8,14,37,159",CHE 493-01,Honors Work,3,IND,Mitchell P. Croatt,08-JAN-2018 to 25-APR-2018,,,,.HSS,15,15,0,M
13242,"3,9",CHE 499-01,Senior Thesis,1,IND,Mitchell P. Croatt,08-JAN-2018 to 25-APR-2018,,,,,4,5,1,M
10105,3,CHE 531-01,Instrumental Analysis,3,LEC,Qibin Zhang,08-JAN-2018 to 25-APR-2018,M W,1730-1845,SULV 355,,23,44,21,M
10110,3,CHE 533-01,Instrumental Analysis Lab,1,LAB,Timothy D. Ballard,08-JAN-2018 to 25-APR-2018,T,1400-1750,SULV 349,.WI,13,20,7,M
15783,3,CHE 533-02,Instrumental Analysis Lab,1,LAB,Timothy D. Ballard,08-JAN-2018 to 25-APR-2018,R,1400-1750,SULV 349,.WI,16,20,4,M
10106,3,CHE 553-01,Advanced Organic Chemistry I,3,LEC,Kimberly S. Petersen,08-JAN-2018 to 25-APR-2018,T R,1530-1645,SULV 217,,8,15,7,M
10107,3,CHE 557-01,Biochemistry II,3,LEC,Sherri A. McFarland,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,SULV 200,,33,80,47,M
10149,3,CHE 558-01,Biochemistry Lab,1,LAB,Jason J. Reddick,08-JAN-2018 to 25-APR-2018,T,1230-1620,SULV 349,.WI,3,10,7,M
10150,3,CHE 558-02,Biochemistry Lab,1,LAB,Pradyumna K. Pradhan,08-JAN-2018 to 25-APR-2018,W,1300-1650,SULV 349,.WI,1,10,9,M
10151,3,CHE 558-03,Biochemistry Lab,1,LAB,Ethan W. Taylor,08-JAN-2018 to 25-APR-2018,R,1230-1350,SULV 349,.WI,2,10,8,M
10151,,,,,,,,R,1400-1620,SULV 351,,,,,
14555,3,CHE 558-04,Biochemistry Lab,1,LAB,Pradyumna K. Pradhan,08-JAN-2018 to 25-APR-2018,M,1300-1650,SULV 349,.WI,1,10,9,M
15810,1,CHE 570B-01,Special Topics:Biochemistry,1,LEC,Patricia H. Reggio,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,SULV 340,,15,20,5,M
17496,1,CHE 570B-02,Special Topics:Biochemistry,1,LEC,Norman H. Chiu,08-JAN-2018 to 25-APR-2018,T R,1230-1345,SULV 217,,6,6,0,M
17363,3,CHE 601-01,Graduate Seminar I,1,SEM,Liam M. Duffy,08-JAN-2018 to 25-APR-2018,M,1300-1350,,,23,24,1,M
10108,3,CHE 602-01,Graduate Seminar II,1,SEM,Nicholas Oberlies,08-JAN-2018 to 25-APR-2018,W F,1300-1450,SULV 201,,6,16,10,M
13684,3,CHE 652-01,Synthetic Organic Chemistry,3,LEC,Kimberly S. Petersen,08-JAN-2018 to 25-APR-2018,T R,1530-1645,SULV 217,,6,9,3,M
16509,1,CHE 658-01,Nucleic Acid Biochemistry,3,LEC,Norman H. Chiu,08-JAN-2018 to 25-APR-2018,T R,1230-1345,SULV 217,,20,24,4,M
16515,3,CHE 659-01,Receptor Biochemistry,3,LEC,Patricia H. Reggio,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,SULV 340,,13,24,11,M
16516,3,CHE 661-01,Advanced Physical Chemistry I,3,LEC,Liam M. Duffy,08-JAN-2018 to 25-APR-2018,M W,1730-1845,SULV 218,,19,24,5,M
16517,"3,159",CHE 670B-01,Adv Special Topic Biochemistry,1,LEC,Nadja B. Cech,08-JAN-2018 to 25-APR-2018,T R,0930-1045,SULV 435D,,5,20,15,M
10160,"1,159",CHE 680-01,Research Probs Chem / Biochem,1,IND,Robert B. Banks,08-JAN-2018 to 25-APR-2018,,,,,15,15,0,M
10161,"1,159",CHE 680-02,Research Probs Chem / Biochem,1,IND,Kimberly S. Petersen,08-JAN-2018 to 25-APR-2018,,,,,14,15,1,M
10162,"1,159",CHE 680-03,Research Probs Chem / Biochem,1,IND,Nadja B. Cech,08-JAN-2018 to 25-APR-2018,,,,,12,15,3,M
10163,"1,159",CHE 680-04,Research Probs Chem / Biochem,1,IND,Norman H. Chiu,08-JAN-2018 to 25-APR-2018,,,,,14,15,1,M
10164,"1,159",CHE 680-05,Research Probs Chem / Biochem,1,IND,Liam M. Duffy,08-JAN-2018 to 25-APR-2018,,,,,15,15,0,M
10166,"1,159",CHE 680-06,Research Probs Chem / Biochem,1,IND,Alice E. Haddy,08-JAN-2018 to 25-APR-2018,,,,,15,15,0,M
10168,"1,159",CHE 680-07,Research Probs Chem / Biochem,1,IND,Terence A. Nile,08-JAN-2018 to 25-APR-2018,,,,,15,15,0,M
10169,"1,159",CHE 680-08,Research Probs Chem / Biochem,1,IND,Sherri A. McFarland,08-JAN-2018 to 25-APR-2018,,,,,15,15,0,M
10171,"1,159",CHE 680-09,Research Probs Chem / Biochem,1,IND,Jason J. Reddick,08-JAN-2018 to 25-APR-2018,,,,,13,15,2,M
10172,"1,159",CHE 680-10,Research Probs Chem / Biochem,1,IND,Patricia H. Reggio,08-JAN-2018 to 25-APR-2018,,,,,15,15,0,M
10173,"1,159",CHE 680-11,Research Probs Chem / Biochem,1,IND,Ethan W. Taylor,08-JAN-2018 to 25-APR-2018,,,,,11,15,4,M
10178,"1,159",CHE 680-12,Research Probs Chem / Biochem,1,IND,Jerome L. Walsh,08-JAN-2018 to 25-APR-2018,,,,,15,15,0,M
10179,"1,159",CHE 680-13,Research Probs Chem / Biochem,1,IND,Nicholas Oberlies,08-JAN-2018 to 25-APR-2018,,,,,13,15,2,M
10182,"1,159",CHE 680-14,Research Probs Chem / Biochem,1,IND,Mitchell P. Croatt,08-JAN-2018 to 25-APR-2018,,,,,15,15,0,M
13876,"1,159",CHE 680-15,Research Probs Chem / Biochem,1,IND,Qibin Zhang,08-JAN-2018 to 25-APR-2018,,,,,15,15,0,M
10183,"1,159",CHE 699-01,Thesis,1,DTS,Robert B. Banks,08-JAN-2018 to 25-APR-2018,,,,,15,15,0,M
10186,"1,159",CHE 699-02,Thesis,1,DTS,Kimberly S. Petersen,08-JAN-2018 to 25-APR-2018,,,,,13,15,2,M
10187,"1,159",CHE 699-03,Thesis,1,DTS,Nadja B. Cech,08-JAN-2018 to 25-APR-2018,,,,,14,15,1,M
10188,"1,159",CHE 699-04,Thesis,1,DTS,Norman H. Chiu,08-JAN-2018 to 25-APR-2018,,,,,13,15,2,M
10189,"1,159",CHE 699-05,Thesis,1,DTS,Liam M. Duffy,08-JAN-2018 to 25-APR-2018,,,,,15,15,0,M
10191,"1,159",CHE 699-06,Thesis,1,DTS,Alice E. Haddy,08-JAN-2018 to 25-APR-2018,,,,,15,15,0,M
10192,"1,159",CHE 699-07,Thesis,1,DTS,Terence A. Nile,08-JAN-2018 to 25-APR-2018,,,,,15,15,0,M
10193,"1,159",CHE 699-08,Thesis,1,DTS,Sherri A. McFarland,08-JAN-2018 to 25-APR-2018,,,,,15,15,0,M
