
CRN,**Notes,Course,Title,SH,Course Type,Instructor,Meeting Dates,Days,Time,Location,Categories,Seats,Limit,Enroll,*Campus
10928,,FRE 101-01,Beginning French I,3,LEC,Amy L. Brabeck,08-JAN-2018 to 25-APR-2018,M W F,0800-0850,MHRA 1211,.GCP.GL,3,25,22,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14172,,FRE 101-02,Beginning French I,3,WEB,Amy L. Brabeck,08-JAN-2018 to 25-APR-2018,,,,.GCP.GL,2,27,25,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10932,3,FRE 102-04,Beginning French II,3,LEC,Joshua C. Lunsford,08-JAN-2018 to 25-APR-2018,M W F,1600-1650,MHRA 1207,.GCP.GL,8,24,16,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10933,"1,3",FRE 102-05,Beginning French II,3,LEC,Peter T. Dola,08-JAN-2018 to 25-APR-2018,M W F,1600-1650,CURY 332,.GCP.GL,6,15,9,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10934,3,FRE 203-01,Intermediate French I,3,LEC,Joshua C. Lunsford,08-JAN-2018 to 25-APR-2018,M W F,1200-1250,MHRA 1213,.GCP.GFL.GL,3,25,22,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14174,3,FRE 203-02,Intermediate French I,3,WEB,Guylene M. Deasy,08-JAN-2018 to 25-APR-2018,,,,.GCP.GFL.GL,13,32,19,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14275,"3,29,30,141,352",FRE 203-02D,Intermediate French I,3,WEB,Guylene M. Deasy,08-JAN-2018 to 25-APR-2018,,,,.GCP.GFL.GL,-1,2,3,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10935,3,FRE 203-03,Intermediate French I,3,LEC,Joshua C. Lunsford,08-JAN-2018 to 25-APR-2018,M W F,1300-1350,MHRA 1204,.GCP.GFL.GL,9,25,16,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15489,"1,3",FRE 203-04,Intermediate French I,3,LEC,Peter T. Dola,08-JAN-2018 to 25-APR-2018,M W F,1300-1350,CURY 332,.GCP.GFL.GL,1,15,14,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10936,3,FRE 204-01,Intermediate French II,3,LEC,Shanaaz Mohammed,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,MHRA 1213,.GFL.GL,6,24,18,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17145,"1,3,30,352",FRE 204-02,Intermediate French II,3,WEB,Genevieve O. Waite,08-JAN-2018 to 25-APR-2018,,,,.GFL.GL,7,26,19,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17103,"3,29,30,141,352",FRE 204-02D,Intermediate French II,3,WEB,Genevieve O. Waite,08-JAN-2018 to 25-APR-2018,,,,.GFL.GL,-1,2,3,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13259,"1,3,125",FRE 204-03,Intermediate French II,3,LEC,Peter T. Dola,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,CURY 332,.GFL.GL,1,15,14,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16825,3,FRE 210-01,Intermediate French Conversatn,1,LEC,William S. Mouelle Ebongue Makolle,08-JAN-2018 to 25-APR-2018,W,1600-1650,MHRA 1211,,9,15,6,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10938,3,FRE 241-01,Interm French:Culture Business,3,LEC,Peter T. Dola,08-JAN-2018 to 25-APR-2018,M W,1700-1815,CURY 332,.GCP.GFL.GL.SI,6,25,19,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15604,3,FRE 303-01,Francophone Cultures: An Intro,3,SEM,Shanaaz Mohammed,08-JAN-2018 to 25-APR-2018,M W F,1200-1250,MHRA 2211,.WI,2,25,23,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10939,3,FRE 341-01,Business French,3,LEC,Genevieve O. Waite,08-JAN-2018 to 25-APR-2018,M W,1400-1515,MHRA 2210,.GCP.GL,12,20,8,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15194,3,FRE 353-01,Survey of French Literature,3,LEC,Roberto E. Campo,08-JAN-2018 to 25-APR-2018,T R,1100-1215,MHRA 1210,.IGS.WI,8,20,12,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16832,3,FRE 558-01,Francophone Women Writers,3,LEC,Shanaaz Mohammed,08-JAN-2018 to 25-APR-2018,M,1730-2020,STON 186,.IGS,9,15,6,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
*Campus,Description
C,Continual Learning/iSchool
D,Distance Learning/Off-Campus
F,Fast Forward
G,Greensboro Main
I,Consortium/Special Exams
L,Interlink
M,Main Campus
O,Online
S,Site Off-Campus
X,107 Extension Non-Fundable
Z,DCL - Custom Non-Fundable
